"UF;MUNICÍPIO;IBGE;TIPOLOGIA;ZONA;NOME DO ESTABELECIMENTO;STATUS"
"RS;URUGUAIANA;4322400;POSTO DE FRONTEIRA;URBANO;EB/COMANDO DA 2 BRIGADA DE CAVALARIA MECANIZADA;ATIVADO                                                                                                 "
"RS;URUGUAIANA;4322400;POSTO DE FRONTEIRA;URBANO;MB/DEL URUGUAIANA;ATIVADO                                                                                                                               "
"RS;TRAMANDAI;4321600;POSTO DE FRONTEIRA;URBANO;MB/RADIO FAROL TRAMANDAI;ATIVADO                                                                                                                         "
"RS;TIO HUGO;4321469;ESCOLA;URBANO;POLO UAB  POLO EDUCACIONAL BOTUCARAI;ATIVADO                                                                                                                          "
"RS;TAVARES;4321352;POSTO DE FRONTEIRA;URBANO;MB/FAROL MOSTARDAS;ATIVADO                                                                                                                                 "
"RS;TAQUARUCU DO SUL;4321329;ESCOLA;RURAL;KIT - ESC MUN ENS FUN AFONSO BALESTRIN;ATIVADO                                                                                                                 "
"RS;TAQUARI;4321303;ESCOLA;RURAL;ESC EST DE ENS FUND JULIO DE CASTILHOS;ATIVADO                                                                                                                          "
"RS;SINIMBU;4320677;BIBLIOTECA;URBANO;KIT - BIBLIOTECA PUBLICA MUNICIPAL ALFONSO SWAROWSKY;ATIVADO                                                                                                       "
"RS;SAO PEDRO DA SERRA;4319356;ESCOLA;URBANO;KIT - ESC MUN ENS FUN IMACULADO CORACAO DE MARIA;ATIVADO                                                                                                    "
"RS;SÃO LEOPOLDO;4318705;POSTO DE FRONTEIRA;URBANO;EB/19º BATALHÃO DE INFANTARIA MOTORIZADO;ATIVADO                                                                                                      "
"RS;SAO GABRIEL;4318309;POSTO DE FRONTEIRA;URBANO;EB/9 REGIMENTO DE CAVALARIA BLINDADO;ATIVADO                                                                                                           "
"RS;SAO BORJA;4318002;POSTO DE FRONTEIRA;RURAL;EB/CAMPO DE INSTRUCAO DE RINCAO;ATIVADO                                                                                                                   "
"RS;SAO BORJA;4318002;POSTO DE FRONTEIRA;URBANO;EB/1 CIA DE ENGENHARIA DE COMBATE MECANIZADA;ATIVADO                                                                                                     "
"RS;SANTO ANTONIO DO PALMA;4317558;ESCOLA;URBANO;KIT - ESC MUN ENS FUND PROFESSOR JOSE MATTIELLO;ATIVADO                                                                                                 "
"RS;SANTO ANTONIO DA PATRULHA;4317608;ESCOLA;RURAL;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL SANTOS DUMONT;ATIVADO                                                                                           "
"RS;SANTIAGO;4317400;POSTO DE FRONTEIRA;URBANO;FAB/DTCEASTI  CINDACTA 2;ATIVADO                                                                                                                          "
"RS;SANTIAGO;4317400;POSTO DE FRONTEIRA;URBANO;EB/19 GRUPO DE ARTILHARIA DE CAMPANHA;ATIVADO                                                                                                             "
"RS;SANTANA DO LIVRAMENTO;4317103;POSTO DE FRONTEIRA;URBANO;EB/2 BATERIA DE ARTILHARIA ANTIAEREA;ATIVADO                                                                                                 "
"RS;SANTANA DO LIVRAMENTO;4317103;ASSENTAMENTO;RURAL;ASSOCIACAO DE RADIOFUSAO COMUNITARIA DO ASSENTAMENTO SAO LEOPOLDO;EM ATIVAÇÃO                                                                       "
"RS;SANTANA DA BOA VISTA;4317004;ESCOLA;RURAL;ESC EST DE ENS FUN MARLENE MEDEIROS;ATIVADO                                                                                                                "
"RS;SANTA VITORIA DO PALMAR;4317301;POSTO DE FRONTEIRA;URBANO;MB/SERVICO DE SINALIZACAO NAUTICA DO SUL FAROL ALBARDAO;ATIVADO                                                                            "
"RS;SANTA VITORIA DO PALMAR;4317301;POSTO DE FRONTEIRA;URBANO;MB/RADIO FAROL CHUI;ATIVADO                                                                                                                "
"RS;SANTA VITORIA DO PALMAR;4317301;ESCOLA;RURAL;ESC MUN DE EDUCACAO BASICA BERNARDO ARRIADA;ATIVADO                                                                                                     "
"RS;SANTA ROSA;4317202;POSTO DE FRONTEIRA;URBANO;EB/19 REGIMENTO DE CAVALARIA MECANIZADO;ATIVADO                                                                                                         "
"RS;SANTA MARIA;4316907;POSTO DE FRONTEIRA;URBANO;EB/6 BRIGADA DE INFANTARIA BLINDADA / 3 CIA DE COMUNICACOES BLINDADA;ATIVADO                                                                           "
"RS;SANTA MARGARIDA DO SUL;4316972;ESCOLA;RURAL;KIT - ESC MUN ENS FUND RODRIGUES ALVES;ATIVADO                                                                                                           "
"RS;SANTA CRUZ DO SUL;4316808;POSTO DE FRONTEIRA;URBANO;EB/7 BATALHAO DE INFANTARIA BLINDADO;ATIVADO                                                                                                     "
"RS;SALVADOR DAS MISSOES;4316477;ESCOLA;URBANO;KIT - ESC MUN ENS FUN PE AFONSO RODRIGUES;ATIVADO                                                                                                         "
"RS;ROSARIO DO SUL;4316402;POSTO DE FRONTEIRA;RURAL;EB/CAMPO DE INSTRUCAO DE SAO BORJA;ATIVADO                                                                                                           "
"RS;PICADA CAFE;4314423;TELECENTRO;URBANO;KIT - TELECENTRO MUNICIPAL;ATIVADO                                                                                                                             "
"RS;RIO GRANDE;4315602;TC_BR;URBANO;TELECENTRO DA PESCA MARE  RIO GRANDE  RS;ATIVADO                                                                                                                     "
"RS;RIO GRANDE;4315602;POSTO DE FRONTEIRA;URBANO;MB/SECAO DO SERVICO MILITAR REGIONAL  SRD/ 5 DN;ATIVADO                                                                                                 "
"RS;PORTO XAVIER;4315107;TELECENTRO;URBANO;KIT - TELECENTRO MUNICIPAL;ATIVADO                                                                                                                            "
